species	kingdom	phylum	class	order	family	genus
Bacteroides_uniformis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_vulgatus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_ovatus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteroides_stercoris	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Alistipes_putredinis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Bacteroides_thetaiotaomicron	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Oscillibacter_sp_CAG_241	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
Collinsella_intestinalis	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Barnesiella_intestinihominis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella
Proteobacteria_bacterium_CAG_139	Bacteria	Proteobacteria	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified	Proteobacteria_unclassified
Alistipes_indistinctus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Porphyromonas_asaccharolytica	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Escherichia_coli	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia
Bacteroides_massiliensis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Alistipes_finegoldii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Firmicutes_bacterium_CAG_83	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified
Parabacteroides_merdae	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Akkermansia_muciniphila	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
Alistipes_shahii	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
Streptococcus_salivarius	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Bilophila_wadsworthia	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Bilophila
Odoribacter_splanchnicus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter
Bacteroides_dorei	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Parabacteroides_distasonis	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides
Bacteroides_cellulosilyticus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Lactobacillus_mucosae	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Lactobacillus_phage_JCL1032	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Siphoviridae_unclassified
Ruthenibacterium_lactatiformans	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruthenibacterium
Streptococcus_parasanguinis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Clostridium_clostridioforme	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Parasutterella_excrementihominis	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Blautia_hydrogenotrophica	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
Intestinimonas_butyriciproducens	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	Intestinimonas
Anaeromassilibacillus_sp_An250	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus
Klebsiella_variicola	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Clostridium_symbiosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Streptococcus_thermophilus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Prevotella_copri	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
Clostridium_sp_CAG_58	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium
Sellimonas_intestinalis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Sellimonas
Turicimonas_muris	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Turicimonas
Lactobacillus_delbrueckii	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Roseburia_inulinivorans	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Streptococcus_virus_phiAbc2	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	Sfi21dt1virus
Bifidobacterium_adolescentis	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Bifidobacterium_longum	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Lactobacillus_prophage_Lj771	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Myoviridae	Myoviridae_unclassified
Klebsiella_pneumoniae	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
Phascolarctobacterium_faecium	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium
Clostridium_lavalense	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium
Dielma_fastidiosa	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Dielma
Clostridium_innocuum	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium
Collinsella_stercoris	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella
Asaccharobacter_celatus	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Asaccharobacter
Dorea_sp_CAG_317	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea
Streptococcus_oralis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Lactobacillus_fermentum	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
Haemophilus_sp_HMSC71H05	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
Faecalibacterium_prausnitzii	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
Lactococcus_virus_bIL67	Viruses	Viruses_unclassified	Viruses_unclassified	Caudovirales	Siphoviridae	C2virus
Roseburia_faecis	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
Hungatella_hathewayi	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Hungatella
