feature,Baruch_2021,Davar_2021,Frankel_2017,Gopalakrishnan_2019,Lee_2022,Matson_2019,Spencer_2021,mean
K11784,0.02530512756218512,0.0,0.01659127003485824,0.0,0.0008084177178907294,0.011590898724502086,0.0,0.007756530577062311
K18285,0.0210671726194305,0.0,0.014454478753836751,0.0,0.0003063151565034445,0.01572623109400315,0.0,0.007364885374824835
K11782,0.026628656793159542,0.0,0.00579773797378495,0.0,0.006253247842084262,0.011213548854155285,0.0,0.007127598780454862
K13290,0.0035249190640283747,2.8542073123502213e-05,0.012207707162525042,0.01913666271202461,5.5708277942592665e-06,0.008964350688765712,1.792529697196126e-05,0.006269382546461924
K15780,0.022659313244589432,0.0,0.005976938834438136,0.0,0.008207227506541969,0.006954868061239626,0.0,0.006256906806687023
K16435,0.0,0.012806176477102974,0.00029412472188858465,0.011506499186395243,0.0,0.001484724350699356,0.01581822736030765,0.005987107442341972
K01820,0.0,0.0,0.0,0.03061406928071126,0.001104473520259509,0.0,0.009457772505154106,0.00588233075801784
K22225,0.021249953988924354,0.0,0.005086491169120117,0.0,0.005366530357361044,0.007438589781863335,0.0,0.0055916521853241205
K21344,0.021308428995692102,0.0,0.0061486435289399635,0.0,0.0006210382413828945,0.009049622840450923,0.0,0.00530396194378084
K09805,0.0,9.028362303707121e-05,0.008234471256485423,0.013193459039356745,5.816721873185567e-06,0.00410617523732992,0.010385814279084256,0.005145145736738085
K21527,0.0,0.0,0.0014089490163737295,0.029777671119066783,0.0008723316847208507,0.003830025977922745,2.174168663354172e-05,0.0051301027835310925
K07101,0.0,0.024738466101317084,0.010428159721285607,0.0,5.898322601631706e-06,5.829657455936188e-06,0.0,0.00502547911466575
K12950,0.019615799907718407,1.7499640280172746e-05,0.00454224777632992,0.002479198634985967,1.1400004610412274e-05,0.004552373304053105,0.003658719829530853,0.004982462728215549
K10798,0.018301921813568805,0.00885165281945354,0.0,0.0,0.00013205993984839002,0.006214596380803899,0.0007084060664903806,0.004886948145737859
K00619,0.020193469215807267,0.0,0.0044322263214063105,0.0,0.0036954898793108864,0.005561586984284008,0.0,0.004840396057258353
K03198,0.0,0.0,0.00036792504546423157,0.021736286477432983,2.2661601039439686e-05,0.006732210766326008,0.003665332718561219,0.004646345229831983
K10843,0.0,0.025453017179226475,0.006740283310293138,0.0,0.0002607712817923028,0.0,0.0,0.004636295967330274
K07488,0.009737643828746752,3.208600898348081e-05,2.3397644310965424e-05,0.02241026368728454,0.0,5.23697594633042e-07,3.8047053079162156e-05,0.004605994559999933
K16171,0.0,0.00011735034745485964,0.0,0.010963511231364008,5.643437551113699e-06,0.016339864985882142,2.563496651676548e-05,0.003921714995538413
K13327,0.0,0.0,0.0,0.015435015621315605,0.0,0.0,0.011814121819443602,0.003892733920108458
K13767,0.022885884048076652,0.0,0.0,0.0,0.004181575488838178,0.0,0.0,0.0038667799338449756
K19056,0.004803044801476338,3.287416740679979e-05,0.00045133496431457265,0.007393313859897028,0.0,0.013345717083549547,0.0007595269464278652,0.003826544546153165
K17950,0.014121147826815391,0.0,0.0011034863163526185,0.008241859259551574,5.340633970878106e-05,0.0,0.003046865919919251,0.003795252237478231
K09796,0.0,3.7650604859296296e-05,0.007367106922762124,0.0,0.0,0.018787804463842366,0.0,0.0037417945702091122
K19734,0.0,0.0015935614726299945,0.0,0.0,0.00021256058125832135,0.011416851150470251,0.012635089683539514,0.0036940089839854404
K10921,0.013345128763767143,0.0,0.011867209538059323,0.0,1.0288193390932963e-05,0.00029270645630646483,0.0,0.003645047564503409
K07268,0.0004733405822147852,0.0025423150977734827,0.0,0.020478287606178962,5.740768971816393e-06,0.001470482899291585,5.824682955249174e-06,0.0035679988053408406
K21345,0.0,0.024521591243725435,0.0,0.0,0.0,0.00025737431864131054,1.5623552697931746e-05,0.0035420841592949536
K11015,0.0,0.0,0.0,0.0,0.00048186976375134933,0.023907542625833188,0.0,0.0034842017699406483
K19242,0.016114107052103217,0.0,0.00214746004463029,0.002473935171589726,0.0016399386013244558,6.761143702230139e-05,0.0012527842108904519,0.0033851195025086343
