feature,Baruch_2021,Davar_2021,Frankel_2017,Gopalakrishnan_2019,Lee_2022,Matson_2019,Spencer_2021,mean,annotation
SRR16554744.002,0.04049941784921514,0.0014809225969541762,0.0,0.0,0.010231976727431055,0.024515412247156622,0.00022796349985394564,0.010993670417230135,Klebsiella variicola
ERR6280910.33,0.02461560357567262,0.003294129193972276,0.028227667350008888,0.018466802059903087,0.0,0.0,0.001123097833589044,0.010818185716163704,Lactiplantibacillus plantarum
SRR13022382.002,0.007750046944748907,0.012161845374731218,0.0,0.0,0.0004132176609760614,0.05019038221016883,0.00034980163482285765,0.01012361340363541,Sutterella sp900762445
SRR13022294.19,0.04435430489674078,0.0005169974163101256,0.0,0.0,0.0,0.0,0.02573481753187289,0.010086588549274828,Ezakiella coagulans
ERR6230340.22,0.0,0.014504484341282183,0.0,0.013373074544242546,0.0002016427359618902,0.0,0.03270235497582896,0.008683079513902226,Paratractidigestivibacter faecalis
SRR16554653.13,0.0,0.0,0.0,0.009801175094132517,7.679061073565639e-05,0.03943282472746169,0.009899701360288752,0.008458641684659802,UBA1685 sp002320595
SRR13022342.16,0.0,0.012639832346133063,0.008750617062905251,0.0,0.0,0.022419491899241695,0.01465115853906302,0.008351585692477575,Phascolarctobacterium_A succinatutens
ERR6279645.5,0.013652536708943053,0.025058492496670214,0.0,0.01624364815984147,8.106570500720059e-05,0.0,0.0,0.007862249010065993,CAG-488 sp000434055
ERR6279624.59,0.0,0.029119967125537917,0.0,0.02420954065848107,0.001052477635740028,0.0,0.0,0.007768855059965573,Acutalibacter stercorigallinarum
SRR13022354.25,0.027992352059028364,0.001364087851610691,0.0,0.0,0.00020774226077875077,0.0,0.0244648899690421,0.007718438877208558,
ERR6281504.41,0.0004900315676571514,0.02580001736103371,0.026962054302983516,5.806750725331241e-05,0.00020410838327698246,9.129038560188942e-05,0.00029652768412517203,0.007700299598847391,Limivicinus sp900547315
ERR2162224.12,0.003906444889309735,0.0009438572439908966,0.0,6.73735436633186e-05,4.960382909200668e-05,0.037677105439593225,0.010946751486014168,0.007655876633094763,UMGS946 sp900544965
SRR13022364.1,0.0,0.00048649261516673113,0.0,0.0008024656872226664,0.0,0.02386434904412633,0.02696766889929327,0.0074458537494012855,Prevotella hominis
ERR6281340.19,0.019243311871229345,0.00024487261679068557,0.0,0.0315733039924356,0.0002409618105511223,0.0,0.0,0.007328921470143823,CAG-1427 sp000435675
maxbin_ERR6280899.004,0.0030850356390347716,0.01947908682879291,0.013527077560607163,0.0018099377432418125,3.7741181905819926e-05,0.012118704909549399,0.00021201066736003117,0.00718137064721313,Eubacterium_R sp000433975
ERR6232522.11,0.0,3.496992656518135e-05,0.0,0.00010613941066667364,0.0011282465977811413,0.04749026570693869,0.0015098470543386975,0.007181352670898626,Prevotella sp900313215
SRR13022375.21,0.0,4.748656622341289e-05,0.0,0.01973378665580371,0.00035540555257389234,0.008110332027060903,0.0212092180406816,0.007065175548906217,Duodenibacillus sp900544335
ERR6279626.93,0.004944603377488521,0.00047906281574414605,0.008469764568818334,0.0,0.0027504682623280706,0.031144461908669627,0.0003356575457577166,0.0068748597826866304,Akkermansia sp001580195
SRR16554667.12,0.009006134009480828,0.010539421105007876,0.027332345490963632,3.41489992058287e-05,3.1962981327062176e-05,0.0,0.00016252416984160954,0.006729505250832405,Butyrivibrio_A crossotus
SRR13022289.003,0.01329163365687368,0.0017041607591297217,0.016625644217123002,0.0,0.0,0.0,0.015326961250125348,0.006706914269035964,CAG-266 sp000436095
SRR5930512.64,0.031696132294997424,0.0017400033626042619,0.0,0.0,0.013343097775871745,0.0,0.0,0.006682747633353347,Veillonella atypica
SRR16554769.42,0.006674588110701457,0.022163329190817333,0.0,0.017780436096987116,0.0,0.0,0.0,0.00665976477121513,Holdemanella sp900556915
ERR6275683.9,0.007889633451466165,5.606349811332776e-06,0.01963391707681318,0.0071205465344165355,3.369299693787379e-05,0.0,0.009800386699291744,0.006354826158390976,Senegalimassilia anaerobia
ERR6279666.28,0.0,0.02056197325394378,0.019359146499946855,0.004351262090921099,5.395781337011823e-06,0.0,0.0,0.006325396803735535,UBA1417 sp900552925
SRR16554703.42,0.0011862054965697162,0.0038938602879975337,0.01941760037844583,0.01967275963119101,7.742208681711051e-05,0.0,4.459631924871067e-06,0.006321758216135153,Coprococcus sp000154245
SRR5930500.23,0.0,0.0033720083299501433,0.038144584575710905,0.0,0.00011565083635617638,0.0,0.0024085840021263434,0.0062915468205919384,Blautia_A sp900551465
metabat_ERR6279628.44,0.005254288432559689,0.00013526853785228785,0.027543261034441754,0.004144840609887844,9.075184736529898e-05,0.0,0.004623245520871704,0.005970236568996939,Bacteroides_F pectinophilus
SRR6000894.2,0.0,0.0,0.03645924067614593,0.0002541360399767705,6.482497377688165e-05,0.0,0.0048568653372176645,0.005947866718159607,UMGS1370 sp900542035
SRR5930527.35,0.0,0.018504709650394198,0.011047746217100606,0.0,9.733376036993848e-05,0.00594697073817988,0.005071139137396442,0.0058096999290630095,Butyribacter sp003524945
ERR2162202.001,0.0,0.0002348463444558222,0.03149826118834664,0.008517492231191498,0.0001370556214545692,0.0,7.480068498981365e-05,0.0057803508672054785,Mesosutterella multiformis
ERR6282137.29,0.0,0.0,0.0,0.019085235095094362,0.009687569180238281,0.0,0.009151755395985636,0.005417794238759754,CAG-83 sp900545495
